,id,contentType,title,published_date,previewUrl,provider
0,7e5c7457-f80e-3148-8f25-3effc1041b48,STORY,Is the Stock Market Open Today? These Are the Columbus Day Trading Hours.,2023-10-09T04:01:00Z,https://finance.yahoo.com/m/7e5c7457-f80e-3148-8f25-3effc1041b48/is-the-stock-market-open.html,Barrons.com
1,050e203b-bc39-3aae-a26a-a1e7280f5f09,STORY,"Temporary Tax Plan Could Boost Your Standard Deduction By Up to $4,000",2023-10-08T15:19:41Z,,SmartAsset
2,b5b5bd06-8c9c-38a2-a067-382f75c2e625,STORY,Ken Fisher and Steve Cohen Have One Thing in Common: They’re Making a Big Bet on These 2 Stocks,2023-10-09T14:20:08Z,,TipRanks
3,65f34e66-f7aa-3ee2-9645-7acbc4d1b70b,STORY,"I Have $750K in a Roth IRA and Will Receive $1,800 Monthly From Social Security. Can I Retire at 65?",2023-10-09T11:00:00Z,,SmartAsset
4,8f41355d-f978-3a1f-9201-29311ad6a79e,STORY,Most American Couples Have This Much in Retirement Savings. Where Do You Stack Up?,2023-10-09T15:00:32Z,,SmartAsset
5,6fbde439-d6ad-3242-a25d-369f1aaa064e,STORY,Analyst Report: Mckesson Corporation,2023-10-09T11:01:20Z,https://finance.yahoo.com/m/6fbde439-d6ad-3242-a25d-369f1aaa064e/analyst-report-mckesson.html,Argus Research
6,78f9f843-f43a-361a-865c-6664e1ca0264,STORY,'Buy A T-Bill And Chill': Bond King Jeffrey Gundlach Says He's Happier As A Bond Investor Now — Here's How To Get In On The Action,2023-10-09T16:34:09Z,,Benzinga
7,0a0bcfdc-a84e-323e-95ba-a1a06acad973,STORY,"These 8%-Yielding Dividend Stocks Look Very Attractive Right Now, Goldman Sachs Says",2023-10-08T23:37:43Z,,TipRanks
8,4860dae8-ef14-316e-b390-86f867d5e267,STORY,Evergrande Investors Warn of ‘Uncontrollable Collapse’,2023-10-09T12:16:00Z,https://finance.yahoo.com/m/4860dae8-ef14-316e-b390-86f867d5e267/evergrande-investors-warn-of.html,The Wall Street Journal
9,1b50b5d0-de2a-3683-984d-8f3551a5c7aa,STORY,84% of Retirees Are Making This RMD Mistake. You Don't Have to Be One of Them,2023-10-09T15:01:14Z,,SmartAsset
10,ecd6e44e-003f-336c-aad6-4caa885d5999,STORY,DOJ Wants to Block Sam Bankman-Fried From Bringing Up Anthropic AI Raise in Court,2023-10-09T03:30:46Z,,CoinDesk
11,dbfb1324-576d-389a-bc87-8a92218dee9c,STORY,Technical Assessment: Neutral in the Intermediate-Term,2023-10-09T10:55:13Z,https://finance.yahoo.com/m/dbfb1324-576d-389a-bc87-8a92218dee9c/technical-assessment-neutral.html,Argus Research
12,fa93adf3-9b1f-3d54-9bfd-99b2c7f5c193,STORY,"Sell 11 Big Stocks Now — Or Pay The Price, Analysts Warn",2023-10-09T12:00:01Z,https://finance.yahoo.com/m/fa93adf3-9b1f-3d54-9bfd-99b2c7f5c193/sell-11-big-stocks-now-%E2%80%94-or.html,Investor's Business Daily
13,dece6641-69ee-4d3e-b92f-ca757f21658c,STORY,Eyeing that $1.55 billion Powerball jackpot? Here's what you'd pocket after taxes.,2023-10-09T13:34:24Z,,Yahoo Personal Finance
14,57338faf-e246-3aa7-9b8f-2552f149e93c,STORY,"How Much Cash Will A $50,000 Annuity Score Me Every Month?",2023-10-08T15:18:34Z,,SmartAsset
15,bd900b89-dc56-3ea8-96eb-0a9e7fdb62d2,STORY,ExxonMobil’s head of shale arrested for alleged sexual assault,2023-10-09T01:44:17Z,https://finance.yahoo.com/m/bd900b89-dc56-3ea8-96eb-0a9e7fdb62d2/exxonmobil%E2%80%99s-head-of-shale.html,Financial Times
16,5ecb3ac9-ca74-3785-9925-5843da84aeaf,STORY,Goldman Sachs Says Buy These 2 Tech Giants as the Upcoming Earnings Season Is a Potential Catalyst,2023-10-08T13:25:18Z,,TipRanks
17,23aae81b-b391-3b8b-a524-dcd4d4c1d6e1,STORY,Market Digest: MCK,2023-10-09T10:46:20Z,https://finance.yahoo.com/m/23aae81b-b391-3b8b-a524-dcd4d4c1d6e1/market-digest-mck.html,Argus Research
18,4865f5fb-6bb2-3c3f-a594-2c8db37ec8d0,STORY,"Nvidia Will Stay Dominant, Citi Says After Report OpenAI May Change Chip Suppliers",2023-10-09T15:56:00Z,https://finance.yahoo.com/m/4865f5fb-6bb2-3c3f-a594-2c8db37ec8d0/nvidia-will-stay-dominant-.html,Barrons.com
19,e44415a0-2632-3326-855d-90e0fd926c4f,STORY,How Can I Stop Enabling Family Who Rely on Me to Pay Their Bills?,2023-10-09T14:59:25Z,,SmartAsset
20,ded6b0a1-015a-3584-9e8d-cd3c12535718,STORY,"Nvidia Stock Tests Key Level, Cancels AI Summit In Israel — Is It A Buy?",2023-10-09T16:31:48Z,https://finance.yahoo.com/m/ded6b0a1-015a-3584-9e8d-cd3c12535718/nvidia-stock-tests-key-level-.html,Investor's Business Daily
21,41e2367c-e642-3dc5-95d3-1fa3bdc3a2cc,STORY,Vanguard Finds Only Top Earners Are Financially on Track for Retirement,2023-10-08T14:27:48Z,https://finance.yahoo.com/m/41e2367c-e642-3dc5-95d3-1fa3bdc3a2cc/vanguard-finds-only-top.html,Investopedia
22,331a49d2-d509-308b-a4df-7129bd5fd990,STORY,Bank of America’s Wrong-Way Rate Bet Hurts Moynihan’s Growth Pledge,2023-10-09T14:58:48Z,,Bloomberg
23,fe14e106-0c0c-3ae5-a4fc-b13bc243bbba,STORY,Daily – Vickers Top Insider Picks for 10/09/2023,2023-10-09T10:27:45Z,https://finance.yahoo.com/m/fe14e106-0c0c-3ae5-a4fc-b13bc243bbba/daily-%E2%80%93-vickers-top-insider.html,Argus Research
24,ffc04835-c206-33ff-9f64-dcc089cbdc46,STORY,Stock Market Holidays 2023: Is Wall Street Closed For Columbus Day?,2023-10-09T09:51:00Z,https://finance.yahoo.com/m/ffc04835-c206-33ff-9f64-dcc089cbdc46/stock-market-holidays-2023-.html,Investor's Business Daily
25,e1170861-161e-3f0f-a509-95423780ff11,STORY,Do Only Rich Families Have a Family Limited Partnership?,2023-10-08T14:40:28Z,,SmartAsset
26,b1931583-23bc-32a3-a80a-a267fc840b1d,STORY,What Israel-Hamas war means for oil prices: ‘There is definitely going to be a fear trade put in place’,2023-10-08T21:53:45Z,,Fortune
27,1663de89-38a6-41ca-95f0-99799e686fcb,STORY,Renewable energy stocks plunge as going green gets 'expensive',2023-10-08T16:00:30Z,,Yahoo Finance
